a0_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        
   0.992066E+02   0.717284E-03   0.993315E+01   0.104753E+02   0.183062E+03
   0.992066E+02   0.444098E-03   0.993315E+01   0.104753E+02   0.184743E+03
   0.992066E+02   0.444098E-03   0.103853E+02   0.104753E+02   0.184629E+03
   0.992066E+02   0.444098E-03   0.103853E+02   0.105664E+02   0.184577E+03
   0.992066E+02   0.465404E-03   0.114886E+02   0.105339E+02   0.183608E+03
   0.992066E+02   0.465404E-03   0.111870E+02   0.103826E+02   0.184047E+03
   0.992066E+02   0.390251E-03   0.112975E+02   0.105175E+02   0.183709E+03
   0.992066E+02   0.580629E-03   0.996656E+01   0.105175E+02   0.184294E+03
   0.992066E+02   0.580629E-03   0.937892E+01   0.103313E+02   0.184242E+03
   0.992066E+02   0.580629E-03   0.937892E+01   0.909687E+01   0.183974E+03
   0.992066E+02   0.580629E-03   0.989306E+01   0.909687E+01   0.184121E+03
   0.992066E+02   0.580629E-03   0.989306E+01   0.909687E+01   0.184121E+03
   0.992066E+02   0.580629E-03   0.989306E+01   0.909687E+01   0.184121E+03
   0.992066E+02   0.580629E-03   0.989306E+01   0.888199E+01   0.183890E+03
   0.992066E+02   0.580629E-03   0.969417E+01   0.971466E+01   0.184439E+03
   0.992066E+02   0.580629E-03   0.969417E+01   0.920225E+01   0.184189E+03
   0.994933E+02   0.580629E-03   0.111899E+02   0.100340E+02   0.184185E+03
   0.994933E+02   0.365655E-03   0.115687E+02   0.116495E+02   0.182646E+03
   0.994933E+02   0.365655E-03   0.108614E+02   0.116495E+02   0.183430E+03
   0.994933E+02   0.365655E-03   0.108614E+02   0.116495E+02   0.183430E+03
   0.994933E+02   0.365655E-03   0.107913E+02   0.946108E+01   0.184708E+03
   0.100474E+03   0.365655E-03   0.107913E+02   0.946108E+01   0.184728E+03
   0.100474E+03   0.365655E-03   0.995385E+01   0.863622E+01   0.184268E+03
   0.100474E+03   0.365655E-03   0.102249E+02   0.863622E+01   0.184217E+03
   0.100474E+03   0.645118E-03   0.101090E+02   0.863622E+01   0.183786E+03
   0.100474E+03   0.511886E-03   0.117401E+02   0.949433E+01   0.184031E+03
   0.100474E+03   0.511886E-03   0.109644E+02   0.110811E+02   0.184415E+03
   0.998251E+02   0.511886E-03   0.105251E+02   0.110811E+02   0.184841E+03
   0.998251E+02   0.511886E-03   0.105251E+02   0.111810E+02   0.184736E+03
   0.998251E+02   0.511886E-03   0.974065E+01   0.844272E+01   0.184381E+03
