a0_min        a0_flood      Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.102493E+03  0.546588E+02  0.310935E-03  0.109614E+02  0.993970E+01  0.958120E-03  0.191558E+02  0.368285E+02
  0.102493E+03  0.546588E+02  0.310935E-03  0.109614E+02  0.108213E+02  0.958120E-03  0.157472E+02  0.375801E+02
  0.102493E+03  0.536128E+02  0.650954E-03  0.109614E+02  0.104265E+02  0.958120E-03  0.148454E+02  0.352834E+02
  0.102493E+03  0.539098E+02  0.650954E-03  0.931663E+01  0.102808E+02  0.980987E-03  0.148454E+02  0.356583E+02
  0.102493E+03  0.537576E+02  0.650954E-03  0.965504E+01  0.108870E+02  0.518721E-03  0.124166E+02  0.356094E+02
  0.102493E+03  0.561989E+02  0.650954E-03  0.875955E+01  0.112211E+02  0.122387E-02  0.124166E+02  0.347485E+02
  0.102493E+03  0.555326E+02  0.650954E-03  0.804604E+01  0.134425E+02  0.435539E-03  0.117357E+02  0.340660E+02
  0.102493E+03  0.555326E+02  0.650954E-03  0.875038E+01  0.134425E+02  0.435539E-03  0.117357E+02  0.343502E+02
  0.102493E+03  0.538313E+02  0.650954E-03  0.861798E+01  0.134425E+02  0.435539E-03  0.122853E+02  0.342887E+02
  0.102493E+03  0.538313E+02  0.488535E-03  0.738759E+01  0.124602E+02  0.435539E-03  0.117209E+02  0.352452E+02
  0.102493E+03  0.538313E+02  0.488535E-03  0.880282E+01  0.107341E+02  0.435539E-03  0.106021E+02  0.360597E+02
  0.102493E+03  0.572224E+02  0.488535E-03  0.880282E+01  0.109303E+02  0.664811E-03  0.104594E+02  0.343796E+02
  0.102493E+03  0.572224E+02  0.488535E-03  0.106432E+02  0.829851E+01  0.664811E-03  0.104594E+02  0.342840E+02
  0.102493E+03  0.572224E+02  0.488535E-03  0.113313E+02  0.825665E+01  0.664811E-03  0.136890E+02  0.353071E+02
  0.102493E+03  0.572224E+02  0.488535E-03  0.112666E+02  0.866249E+01  0.100306E-02  0.136890E+02  0.351554E+02
  0.102493E+03  0.572224E+02  0.488535E-03  0.112666E+02  0.806897E+01  0.730419E-03  0.136890E+02  0.351765E+02
  0.102493E+03  0.559272E+02  0.488535E-03  0.115113E+02  0.673598E+01  0.730419E-03  0.122486E+02  0.351328E+02
  0.102493E+03  0.559272E+02  0.488535E-03  0.115044E+02  0.805134E+01  0.730419E-03  0.122486E+02  0.363215E+02
